   8.000    2.171719    1.999708    1.906678    1.843757    1.796700    1.759152    1.728247    1.701835    1.679004    1.658933    1.640918    1.624673    1.610013    1.596651    1.584328    1.572932    1.562481    1.553076    1.545121
   6.400    2.253565    2.058989    1.954439    1.884062    1.831523    1.789842    1.755467    1.726306    1.701067    1.678833    1.659063    1.641266    1.625101    1.610378    1.596913    1.584538    1.573185    1.562941    1.554304
   5.818    2.257055    2.054009    1.945350    1.872385    1.818018    1.774972    1.739514    1.709487    1.683507    1.660682    1.640377    1.622109    1.605575    1.590512    1.576706    1.564045    1.552483    1.542057    1.533226
   4.923    2.204413    1.993009    1.881614    1.807651    1.753022    1.710091    1.674952    1.645354    1.619878    1.597592    1.577833    1.560145    1.544167    1.529648    1.516400    1.504276    1.493206    1.483236    1.474798
   4.000    2.089927    1.900714    1.802413    1.737396    1.689405    1.651662    1.620724    1.594615    1.572103    1.552366    1.534839    1.519110    1.504880    1.491922    1.480071    1.469205    1.459262    1.450271    1.442599
   3.200    2.053351    1.876662    1.782886    1.720177    1.673569    1.636740    1.606446    1.580814    1.558665    1.539217    1.521921    1.506383    1.492311    1.479487    1.467747    1.456977    1.447111    1.438177    1.430534
   2.909    2.044769    1.868051    1.774281    1.711629    1.665105    1.628372    1.598180    1.572650    1.550604    1.531256    1.514058    1.498616    1.484638    1.471906    1.460256    1.449573    1.439794    1.430946    1.423384
   2.462    2.024618    1.850310    1.758150    1.696677    1.651068    1.615076    1.585501    1.560497    1.538907    1.519959    1.503117    1.487993    1.474302    1.461830    1.450418    1.439953    1.430372    1.421701    1.414282
   2.000    2.007509    1.836949    1.746488    1.686037    1.641133    1.605666    1.576504    1.551836    1.530527    1.511820    1.495187    1.480247    1.466719    1.454391    1.443108    1.432755    1.423272    1.414679    1.407304
   1.600    1.996226    1.827594    1.738105    1.678285    1.633841    1.598731    1.569858    1.545433    1.524331    1.505804    1.489330    1.474533    1.461134    1.448924    1.437749    1.427498    1.418109    1.409604    1.402306
   1.455    1.992688    1.824711    1.735539    1.675921    1.631623    1.596627    1.567848    1.543504    1.522474    1.504013    1.487603    1.472868    1.459533    1.447394    1.436298    1.426141    1.416868    1.408519    1.401449
   1.231    1.987920    1.820806    1.732058    1.672711    1.628609    1.593765    1.565110    1.540869    1.519929    1.501549    1.485210    1.470543    1.457273    1.445196    1.434165    1.424077    1.414884    1.406632    1.399701
   1.000    1.983834    1.817447    1.729032    1.669882    1.625911    1.591159    1.562572    1.538382    1.517481    1.499128    1.482809    1.468152    1.454883    1.442798    1.431746    1.421620    1.412365    1.404011    1.396899
