   8.000   -0.962558   -0.685465   -0.493314   -0.371510   -0.288815   -0.230332   -0.187839   -0.156357   -0.132654   -0.114550   -0.100532   -0.089551   -0.080893   -0.074112   -0.069003   -0.065589   -0.064205   -0.065638   -0.071625
   5.333   -0.972451   -0.698502   -0.503413   -0.380094   -0.296879   -0.238241   -0.195714   -0.164231   -0.140546   -0.122478   -0.108526   -0.097654   -0.089163   -0.082625   -0.077861   -0.074941   -0.074281   -0.076832   -0.084747
   4.000   -0.977461   -0.701326   -0.505275   -0.381762   -0.298594   -0.240020   -0.197533   -0.166073   -0.142400   -0.124346   -0.110411   -0.099564   -0.091111   -0.084630   -0.079946   -0.077144   -0.076654   -0.079467   -0.087840
   3.200   -0.979853   -0.702127   -0.505756   -0.382299   -0.299205   -0.240676   -0.198212   -0.166764   -0.143098   -0.125049   -0.111121   -0.100284   -0.091846   -0.085385   -0.080733   -0.077974   -0.077547   -0.080458   -0.088998
   2.667   -0.980963   -0.702276   -0.505901   -0.382518   -0.299464   -0.240956   -0.198503   -0.167061   -0.143397   -0.125351   -0.111426   -0.100593   -0.092162   -0.085710   -0.081071   -0.078331   -0.077931   -0.080886   -0.089495
   2.286   -0.981552   -0.702259   -0.505983   -0.382637   -0.299596   -0.241095   -0.198647   -0.167209   -0.143547   -0.125504   -0.111581   -0.100749   -0.092322   -0.085875   -0.081244   -0.078513   -0.078127   -0.081102   -0.089749
   2.000   -0.981870   -0.702243   -0.506052   -0.382708   -0.299669   -0.241172   -0.198729   -0.167293   -0.143632   -0.125590   -0.111667   -0.100838   -0.092413   -0.085969   -0.081341   -0.078615   -0.078237   -0.081225   -0.089895
   1.600   -0.981956   -0.702338   -0.506166   -0.382784   -0.299743   -0.241250   -0.198812   -0.167380   -0.143720   -0.125681   -0.111760   -0.100932   -0.092510   -0.086069   -0.081444   -0.078726   -0.078357   -0.081358   -0.090045
   1.333   -0.981741   -0.702498   -0.506210   -0.382797   -0.299757   -0.241270   -0.198837   -0.167408   -0.143749   -0.125713   -0.111793   -0.100966   -0.092545   -0.086106   -0.081481   -0.078765   -0.078400   -0.081405   -0.090105
   1.143   -0.981615   -0.702626   -0.506219   -0.382798   -0.299766   -0.241288   -0.198862   -0.167438   -0.143783   -0.125751   -0.111835   -0.101013   -0.092595   -0.086161   -0.081539   -0.078831   -0.078474   -0.081492   -0.090192
   1.000   -0.981669   -0.702683   -0.506201   -0.382780   -0.299756   -0.241281   -0.198858   -0.167436   -0.143783   -0.125752   -0.111837   -0.101016   -0.092600   -0.086165   -0.081543   -0.078844   -0.078482   -0.081494   -0.090195
