   8.000    2.285808    2.051794    1.929976    1.849712    1.791161    1.744780    1.706462    1.675287    1.647960    1.623408    1.601850    1.583182    1.566483    1.550842    1.536155    1.522573    1.510195    1.499250    1.490152
   6.400    2.392015    2.153768    2.030091    1.947945    1.887652    1.839715    1.801134    1.768197    1.739829    1.715348    1.693380    1.673624    1.655813    1.639804    1.625063    1.611489    1.599048    1.587727    1.578057
   5.818    2.429664    2.189523    2.064354    1.981746    1.921039    1.872730    1.833902    1.800487    1.772176    1.747418    1.724952    1.704958    1.687276    1.670926    1.655694    1.641787    1.629309    1.618231    1.608603
   4.923    2.482205    2.240537    2.114742    2.031234    1.969429    1.920520    1.881027    1.847120    1.818533    1.793026    1.770451    1.750628    1.732282    1.715485    1.700481    1.686848    1.674039    1.662291    1.652374
   4.000    2.531094    2.287464    2.159937    2.075533    2.013157    1.964004    1.923738    1.889813    1.860473    1.834919    1.812130    1.791749    1.773374    1.756516    1.741219    1.727238    1.714338    1.702635    1.692764
   3.200    2.567521    2.322573    2.194117    2.108849    2.045750    1.996139    1.955516    1.921260    1.891666    1.865834    1.842863    1.822304    1.803675    1.786806    1.771273    1.757143    1.744191    1.732412    1.722435
   2.909    2.579225    2.333565    2.204893    2.119564    2.056501    2.006896    1.966192    1.931851    1.902165    1.876165    1.853165    1.832451    1.813829    1.796786    1.781307    1.767051    1.754031    1.742314    1.732219
   2.462    2.595964    2.349854    2.220505    2.134689    2.071261    2.021339    1.980441    1.945957    1.916251    1.890228    1.867104    1.846405    1.827689    1.810638    1.795089    1.780808    1.767772    1.755979    1.745895
   2.000    2.611114    2.364071    2.234419    2.148343    2.084692    2.034627    1.993603    1.959009    1.929191    1.903068    1.879880    1.859092    1.840297    1.823180    1.807524    1.793206    1.780087    1.768252    1.758136
   1.600    2.622131    2.374503    2.244462    2.158182    2.094420    2.044225    2.003088    1.968381    1.938484    1.912288    1.889021    1.868138    1.849261    1.832086    1.816386    1.802012    1.788873    1.776988    1.766858
   1.455    2.625573    2.377665    2.247673    2.161334    2.097439    2.047159    2.005962    1.971219    1.941272    1.915045    1.891773    1.870905    1.852041    1.834878    1.819190    1.804817    1.791661    1.779767    1.769614
   1.231    2.630258    2.382089    2.251884    2.165457    2.101532    2.051199    2.009958    1.975171    1.945195    1.918924    1.895605    1.874699    1.855802    1.838610    1.822897    1.808503    1.795337    1.783426    1.773271
   1.000    2.634284    2.385928    2.255590    2.169020    2.105035    2.054685    2.013421    1.978606    1.948578    1.922270    1.898925    1.877999    1.859081    1.841875    1.826150    1.811743    1.798572    1.786677    1.776548
