   8.000    3.322937    2.924401    2.723650    2.592908    2.497392    2.423224    2.363311    2.312415    2.268921    2.231694    2.198277    2.168423    2.141359    2.116996    2.095262    2.075365    2.056930    2.040251    2.027002
   6.400    3.455686    3.055062    2.849639    2.715089    2.618042    2.541656    2.480736    2.428311    2.383920    2.345898    2.311516    2.280634    2.253106    2.228438    2.206273    2.185405    2.166428    2.149763    2.136513
   5.818    3.496318    3.097973    2.893840    2.759881    2.662555    2.586743    2.524792    2.472335    2.428587    2.389467    2.354570    2.324139    2.297014    2.271832    2.248540    2.227568    2.208669    2.192215    2.179104
   4.923    3.562165    3.166638    2.961290    2.826318    2.727563    2.650688    2.587628    2.535279    2.489990    2.450240    2.415841    2.384612    2.356176    2.330853    2.308070    2.286952    2.267539    2.250433    2.237106
   4.000    3.619751    3.227834    3.024149    2.889413    2.790144    2.712721    2.649517    2.595896    2.550494    2.510275    2.474933    2.443607    2.414755    2.389042    2.365840    2.344169    2.324607    2.307621    2.294130
   3.200    3.666114    3.276746    3.072261    2.936615    2.836695    2.758409    2.694555    2.640982    2.594761    2.554634    2.518877    2.487203    2.458324    2.432337    2.408552    2.386772    2.367292    2.349874    2.335867
   2.909    3.682279    3.293938    3.088875    2.952587    2.852338    2.773775    2.709606    2.655690    2.609454    2.568935    2.533233    2.501154    2.472428    2.446187    2.422476    2.400793    2.381082    2.363785    2.349884
   2.462    3.705614    3.316075    3.109973    2.973621    2.873218    2.794523    2.730283    2.676293    2.629888    2.589281    2.553425    2.521326    2.492397    2.466171    2.442261    2.420432    2.400716    2.383151    2.369242
   2.000    3.726237    3.336621    3.130408    2.993759    2.893077    2.814181    2.749671    2.695422    2.648809    2.608083    2.572012    2.539748    2.510709    2.484339    2.460322    2.438436    2.418565    2.400983    2.386948
   1.600    3.740393    3.352044    3.145723    3.008916    2.908097    2.828839    2.763945    2.709395    2.662513    2.621552    2.585299    2.552882    2.523653    2.497159    2.473058    2.451092    2.431176    2.413538    2.399466
   1.455    3.745404    3.356887    3.150219    3.013217    2.912244    2.833027    2.768299    2.713823    2.667018    2.626068    2.589789    2.557346    2.528102    2.501562    2.477379    2.455361    2.435410    2.417697    2.403592
   1.231    3.750581    3.363523    3.156938    3.019725    2.918550    2.839185    2.774278    2.719652    2.672690    2.631667    2.595346    2.562868    2.533593    2.507046    2.482880    2.460867    2.440915    2.423215    2.409103
   1.000    3.755017    3.369353    3.162480    3.025127    2.923880    2.844456    2.779529    2.724857    2.677862    2.636799    2.600445    2.567940    2.538597    2.511987    2.487766    2.465699    2.445695    2.427948    2.413782
