   8.000    2.705722    2.450255    2.316324    2.228647    2.161440    2.110629    2.067647    2.030769    2.000184    1.973599    1.949164    1.926692    1.906588    1.888866    1.873055    1.858563    1.845043    1.832581    1.822097
   6.400    2.705146    2.451002    2.317016    2.228027    2.161690    2.110033    2.067033    2.031127    2.000204    1.972686    1.948388    1.926891    1.907393    1.889407    1.872888    1.857917    1.844474    1.832533    1.822683
   5.818    2.704626    2.450204    2.316358    2.227352    2.161641    2.109565    2.067165    2.031038    2.000088    1.973017    1.948747    1.927026    1.907570    1.889864    1.873549    1.858567    1.845002    1.832990    1.823184
   4.923    2.704011    2.450259    2.316608    2.227756    2.162018    2.110166    2.067656    2.031744    2.000823    1.973624    1.949565    1.927986    1.908401    1.890623    1.874457    1.859662    1.846135    1.834029    1.824132
   4.000    2.703720    2.450352    2.316927    2.228196    2.162501    2.110749    2.068306    2.032456    2.001555    1.974454    1.950420    1.928841    1.909352    1.891641    1.875452    1.860661    1.847219    1.835196    1.825303
   3.200    2.703744    2.450655    2.317362    2.228702    2.163070    2.111371    2.068959    2.033155    2.002284    1.975225    1.951210    1.929672    1.910212    1.892514    1.876362    1.861606    1.848170    1.836158    1.826294
   2.909    2.703831    2.450815    2.317555    2.228916    2.163301    2.111616    2.069217    2.033424    2.002562    1.975515    1.951506    1.929980    1.910523    1.892836    1.876689    1.861935    1.848507    1.836496    1.826628
   2.462    2.704022    2.451106    2.317887    2.229275    2.163680    2.112013    2.069629    2.033851    2.003003    1.975968    1.951971    1.930456    1.911011    1.893332    1.877195    1.862448    1.849023    1.837016    1.827144
   2.000    2.704318    2.451469    2.318278    2.229684    2.164103    2.112450    2.070079    2.034313    2.003476    1.976453    1.952468    1.930965    1.911532    1.893866    1.877743    1.863011    1.849603    1.837615    1.827764
   1.600    2.704653    2.451834    2.318654    2.230068    2.164494    2.112847    2.070483    2.034724    2.003894    1.976878    1.952901    1.931404    1.911979    1.894320    1.878204    1.863479    1.850077    1.838095    1.828250
   1.455    2.704788    2.451976    2.318797    2.230212    2.164640    2.112995    2.070632    2.034874    2.004046    1.977031    1.953054    1.931558    1.912132    1.894472    1.878353    1.863623    1.850214    1.838222    1.828363
   1.231    2.705014    2.452206    2.319027    2.230442    2.164871    2.113227    2.070866    2.035111    2.004284    1.977272    1.953298    1.931804    1.912381    1.894723    1.878607    1.863879    1.850473    1.838482    1.828624
   1.000    2.705268    2.452457    2.319275    2.230689    2.165117    2.113474    2.071115    2.035362    2.004540    1.977532    1.953563    1.932077    1.912663    1.895016    1.878915    1.864207    1.850826    1.838870    1.829061
