   8.000    3.530174    3.157608    2.967123    2.838317    2.747518    2.673224    2.613460    2.564731    2.521751    2.483233    2.449503    2.419944    2.393716    2.369929    2.347608    2.326986    2.308390    2.292267    2.280179
   6.400    3.607833    3.227931    3.030710    2.900515    2.805461    2.730072    2.669014    2.617783    2.573161    2.534397    2.500334    2.469866    2.442079    2.416892    2.394058    2.373392    2.354858    2.338667    2.326251
   5.818    3.629406    3.249921    3.053421    2.923415    2.828075    2.753388    2.692326    2.640674    2.596753    2.558120    2.523656    2.492945    2.465565    2.440274    2.416877    2.395562    2.376400    2.359753    2.347356
   4.923    3.674646    3.286645    3.085982    2.953877    2.856957    2.780966    2.718693    2.666406    2.621678    2.582119    2.547416    2.516546    2.488356    2.462797    2.439775    2.418981    2.400105    2.383392    2.370773
   4.000    3.720676    3.327329    3.123757    2.990005    2.890375    2.812473    2.748816    2.695223    2.649263    2.609087    2.573430    2.541737    2.513067    2.487032    2.463492    2.442143    2.422816    2.405891    2.393206
   3.200    3.763027    3.360174    3.152628    3.016288    2.916248    2.837996    2.774127    2.720264    2.673710    2.632998    2.597044    2.564828    2.535927    2.509600    2.485691    2.464070    2.444522    2.427442    2.414660
   2.909    3.779081    3.372624    3.163612    3.026496    2.925836    2.846970    2.782625    2.728516    2.682027    2.641461    2.605192    2.572877    2.543704    2.517322    2.493377    2.471593    2.452028    2.434959    2.422097
   2.462    3.801261    3.391854    3.180471    3.041818    2.940144    2.860591    2.795701    2.741190    2.694348    2.653435    2.617290    2.584929    2.555844    2.529446    2.505400    2.483491    2.463812    2.446650    2.433750
   2.000    3.824225    3.410411    3.197948    3.057835    2.955129    2.874842    2.809341    2.754317    2.707074    2.665825    2.629332    2.596733    2.567383    2.540795    2.516660    2.494745    2.475034    2.457817    2.444924
   1.600    3.843475    3.425717    3.211123    3.070511    2.967458    2.886729    2.820737    2.765316    2.717735    2.676201    2.639471    2.606657    2.577107    2.550357    2.526066    2.504017    2.484179    2.466856    2.453859
   1.455    3.849984    3.431165    3.215791    3.074760    2.971421    2.890638    2.824764    2.769169    2.721443    2.679789    2.642955    2.610050    2.580425    2.553609    2.529254    2.507150    2.487267    2.469913    2.456918
   1.231    3.859998    3.438631    3.222894    3.081228    2.977392    2.896240    2.830060    2.774441    2.726705    2.685026    2.648059    2.615040    2.585315    2.558405    2.533971    2.511804    2.491854    2.474443    2.461411
   1.000    3.869633    3.446249    3.229394    3.087300    2.983229    2.901789    2.835307    2.779482    2.731565    2.689743    2.652758    2.619701    2.589940    2.562999    2.538503    2.516248    2.496221    2.478746    2.465663
