 hih1=   1.000 Number of points =  165
   0.966728435E+00  -0.584443850E-02   0.168988195E+00   0.227222991E-01   0.183000592E+01
   0.966729474E+00  -0.585215160E-02   0.193826747E+00   0.260603686E-01   0.207098858E+01
   0.966731322E+00  -0.586586760E-02   0.230779130E+00   0.310222305E-01   0.259645267E+01
   0.966734608E+00  -0.589025860E-02   0.279300820E+00   0.375258657E-01   0.392355733E+01
   0.966740452E+00  -0.593363260E-02   0.200010439E+00   0.268491528E-01   0.514111899E+01
   0.966750843E+00  -0.601076380E-02   0.336978018E+00   0.451938392E-01   0.954137566E+01
   0.966769322E+00  -0.614792440E-02   0.402919497E+00   0.538655455E-01   0.201980127E+02
   0.966802182E+00  -0.639183440E-02   0.454590222E+00   0.604269806E-01   0.403687640E+02
   0.966860617E+00  -0.682557450E-02   0.504290239E+00   0.663855177E-01   0.761013545E+02
   0.966964531E+00  -0.759688550E-02   0.556803744E+00   0.721320032E-01   0.135065899E+03
   0.967149319E+00  -0.896849210E-02   0.616275078E+00   0.777953235E-01   0.220687101E+03
   0.967477924E+00  -0.114075918E-01   0.689428760E+00   0.835350898E-01   0.305813162E+03
   0.968062275E+00  -0.157449926E-01   0.798497643E+00   0.908131403E-01   0.256161935E+03
   0.969101414E+00  -0.234581031E-01   0.935765246E+00   0.972801956E-01   0.147311568E+02
   0.970949294E+00  -0.371741687E-01   0.941626288E+00   0.874869737E-01   0.543921829E-01
   0.765671056E+00  -0.299652641E-01   0.249482351E+00   0.265083264E-01   0.460468452E+01
   0.765671878E+00  -0.299730034E-01   0.282496126E+00   0.300078180E-01   0.492358184E+01
   0.765673339E+00  -0.299867660E-01   0.332017987E+00   0.352559968E-01   0.557679235E+01
   0.765675938E+00  -0.300112397E-01   0.404653529E+00   0.429516033E-01   0.729707967E+01
   0.765680560E+00  -0.300547608E-01   0.456964706E+00   0.484889133E-01   0.105831793E+02
   0.765688779E+00  -0.301321536E-01   0.382153962E+00   0.405618064E-01   0.120306512E+02
   0.765703394E+00  -0.302697796E-01   0.524699245E+00   0.556341893E-01   0.232246230E+02
   0.765729384E+00  -0.305145170E-01   0.592915650E+00   0.627828560E-01   0.448328052E+02
   0.765775602E+00  -0.309497285E-01   0.651301497E+00   0.688058685E-01   0.824678808E+02
   0.765857790E+00  -0.317236561E-01   0.709902164E+00   0.746920509E-01   0.141694452E+03
   0.766003943E+00  -0.330999157E-01   0.774990436E+00   0.809539414E-01   0.215267919E+03
