   8.000    1.452501    1.344426    1.286216    1.246981    1.217665    1.194249    1.175024    1.158570    1.144343    1.131882    1.120677    1.110589    1.101462    1.093130    1.085434    1.078273    1.071709    1.065707    1.060332
   6.400    1.587306    1.466892    1.402110    1.358548    1.326018    1.300206    1.278828    1.260746    1.244995    1.231181    1.218887    1.207722    1.197634    1.188453    1.179982    1.172097    1.164867    1.158282    1.152439
   5.818    1.639124    1.513557    1.446182    1.400746    1.366833    1.339825    1.317588    1.298709    1.282315    1.267876    1.255110    1.243427    1.232931    1.223407    1.214500    1.206288    1.198844    1.192042    1.185880
   4.923    1.718068    1.582639    1.510096    1.461275    1.424866    1.396005    1.372207    1.352005    1.334519    1.319143    1.305430    1.293095    1.281909    1.271658    1.262281    1.253638    1.245644    1.238346    1.231911
   4.000    1.787453    1.643606    1.566784    1.515273    1.476852    1.446447    1.421407    1.400209    1.381685    1.365381    1.350882    1.337814    1.326002    1.315201    1.305288    1.296207    1.287791    1.280126    1.273390
   3.200    1.837632    1.685582    1.604854    1.550870    1.510733    1.479027    1.452930    1.430836    1.411738    1.394953    1.380032    1.366616    1.354444    1.343359    1.333171    1.323825    1.315205    1.307345    1.300420
   2.909    1.849740    1.697093    1.615986    1.561721    1.521378    1.489479    1.463242    1.441028    1.421823    1.404946    1.389930    1.376440    1.364205    1.353040    1.342814    1.333394    1.324749    1.316836    1.309886
   2.462    1.869806    1.715467    1.633391    1.578464    1.537624    1.505338    1.478770    1.456285    1.436844    1.419766    1.404570    1.390908    1.378526    1.367237    1.356886    1.347363    1.338619    1.330624    1.323612
   2.000    1.888894    1.732557    1.649078    1.593298    1.551836    1.519054    1.492095    1.469289    1.449580    1.432273    1.416880    1.403047    1.390513    1.379084    1.368611    1.358984    1.350132    1.342058    1.334972
   1.600    1.901913    1.744060    1.660002    1.603808    1.562047    1.529053    1.501914    1.478952    1.459097    1.441649    1.426129    1.412184    1.399550    1.388030    1.377473    1.367773    1.358862    1.350737    1.343620
   1.455    1.906091    1.747578    1.663412    1.607130    1.565300    1.532246    1.505059    1.482053    1.462102    1.444585    1.429007    1.415002    1.402310    1.390738    1.380135    1.370393    1.361445    1.353288    1.346145
   1.231    1.911543    1.752487    1.668030    1.611529    1.569545    1.536376    1.509095    1.486013    1.466067    1.448552    1.432974    1.418941    1.406229    1.394638    1.384020    1.374265    1.365306    1.357148    1.350021
   1.000    1.916938    1.757065    1.672173    1.615436    1.573283    1.539983    1.512587    1.489396    1.469358    1.451763    1.436114    1.422053    1.409315    1.397701    1.387061    1.377286    1.368308    1.360131    1.352987
